,rep,lv,alp,num_cell,cell_size,sparse_freq,error
114,0,1,0.001,500,4,8,15814.311456372565
115,0,1,0.001,500,6,1,216.32135122339884
116,0,1,0.001,500,6,2,1684.9013312520544
117,0,1,0.001,500,6,4,9867.630330616068
118,0,1,0.001,500,6,6,19876.713097376898
119,0,1,0.001,500,6,8,25582.09827486895
120,0,1,0.001,500,8,1,223.05972670417205
121,0,1,0.001,500,8,2,1722.819936103001
122,0,1,0.001,500,8,4,9805.631314034172
123,0,1,0.001,500,8,6,13773.328782445893
124,0,1,0.001,500,8,8,19217.73281461981
125,0,1,0.01,50,1,1,3290.2710509077774
126,0,1,0.01,50,1,2,4402.1692957558935
127,0,1,0.01,50,1,4,3841.8080619613015
128,0,1,0.01,50,1,6,4352.518763308073
129,0,1,0.01,50,1,8,5290.843609828256
130,0,1,0.01,50,2,1,1151.0876077424232
131,0,1,0.01,50,2,2,2393.257198128919
132,0,1,0.01,50,2,4,4706.612755002764
133,0,1,0.01,50,2,6,8897.053030170986
134,0,1,0.01,50,2,8,5880.702843869146
135,0,1,0.01,50,4,1,480.1909830512242
136,0,1,0.01,50,4,2,1323.8809028389564
137,0,1,0.01,50,4,4,9418.252277550368
138,0,1,0.01,50,4,6,17454.145880934917
139,0,1,0.01,50,4,8,19743.41215992907
140,0,1,0.01,50,6,1,319.7026331338262
141,0,1,0.01,50,6,2,1176.3790744415405
142,0,1,0.01,50,6,4,20964.572521456364
143,0,1,0.01,50,6,6,44481.44083439798
144,0,1,0.01,50,6,8,54677.81294039546
145,0,1,0.01,50,8,1,351.20379409455074
146,0,1,0.01,50,8,2,944.9990289681372
147,0,1,0.01,50,8,4,17524.56096056278
148,0,1,0.01,50,8,6,36983.61256695806
149,0,1,0.01,50,8,8,70486.65778273353
150,0,1,0.01,100,1,1,1399.9392027663594
151,0,1,0.01,100,1,2,1814.5923733686018
152,0,1,0.01,100,1,4,2911.8832625620134
153,0,1,0.01,100,1,6,4339.4589278201065
154,0,1,0.01,100,1,8,2386.222066594945
155,0,1,0.01,100,2,1,409.59432532967514
156,0,1,0.01,100,2,2,1535.8460826609848
157,0,1,0.01,100,2,4,2981.6854304187136
158,0,1,0.01,100,2,6,5962.919225456714
159,0,1,0.01,100,2,8,6720.240244621041
160,0,1,0.01,100,4,1,366.65088723172323
161,0,1,0.01,100,4,2,1649.3726268630312
162,0,1,0.01,100,4,4,15565.645458218984
163,0,1,0.01,100,4,6,27743.962525875988
164,0,1,0.01,100,4,8,27644.99902051838
165,0,1,0.01,100,6,1,396.7219971414801
166,0,1,0.01,100,6,2,1474.5352927551273
167,0,1,0.01,100,6,4,19671.874701953515
168,0,1,0.01,100,6,6,32012.821059995727
169,0,1,0.01,100,6,8,32868.39656551283
170,0,1,0.01,100,8,1,325.69360553905625
171,0,1,0.01,100,8,2,1428.9188767737776
172,0,1,0.01,100,8,4,12551.024955479112
173,0,1,0.01,100,8,6,38912.77911541185
174,0,1,0.01,100,8,8,65981.91606202676
175,0,1,0.01,200,1,1,397.88857331150916
176,0,1,0.01,200,1,2,860.9029348735465
177,0,1,0.01,200,1,4,1116.271787145414
178,0,1,0.01,200,1,6,1445.3567841227277
179,0,1,0.01,200,1,8,1342.1160764238568
180,0,1,0.01,200,2,1,348.5409370123179
181,0,1,0.01,200,2,2,1124.2486195497993
182,0,1,0.01,200,2,4,4335.4114557558505
183,0,1,0.01,200,2,6,5104.241502934731
184,0,1,0.01,200,2,8,6997.1343654032935
185,0,1,0.01,200,4,1,294.00048623713866
186,0,1,0.01,200,4,2,1678.2637216620797
187,0,1,0.01,200,4,4,11395.272408430914
188,0,1,0.01,200,4,6,16413.615350919616
189,0,1,0.01,200,4,8,19151.972103194636
190,0,1,0.01,200,6,1,294.00352568945766
191,0,1,0.01,200,6,2,1732.6261409598535
192,0,1,0.01,200,6,4,17244.75001289804
193,0,1,0.01,200,6,6,30243.427669811957
194,0,1,0.01,200,6,8,53289.76577802349
195,0,1,0.01,200,8,1,283.3157257860884
196,0,1,0.01,200,8,2,1660.7995879363853
197,0,1,0.01,200,8,4,13655.7804604332
198,0,1,0.01,200,8,6,46159.62849800782
199,0,1,0.01,200,8,8,40147.355592157415
200,0,1,0.01,300,1,1,284.46765000937825
201,0,1,0.01,300,1,2,496.0907162688428
202,0,1,0.01,300,1,4,714.6845723659461
203,0,1,0.01,300,1,6,860.983097733934
204,0,1,0.01,300,1,8,954.6236887601534
205,0,1,0.01,300,2,1,346.726890258289
206,0,1,0.01,300,2,2,1047.484800019959
207,0,1,0.01,300,2,4,3069.5097606798176
208,0,1,0.01,300,2,6,3984.6709656213407
209,0,1,0.01,300,2,8,4685.090275886804
210,0,1,0.01,300,4,1,245.37073266833337
211,0,1,0.01,300,4,2,1215.9311566077517
212,0,1,0.01,300,4,4,4444.462359013053
213,0,1,0.01,300,4,6,8676.853072335296
214,0,1,0.01,300,4,8,14180.352907814784
215,0,1,0.01,300,6,1,298.97600647313095
216,0,1,0.01,300,6,2,1163.5682776269018
217,0,1,0.01,300,6,4,8333.498725912426
218,0,1,0.01,300,6,6,26055.007141049577
219,0,1,0.01,300,6,8,24553.191504468632
220,0,1,0.01,300,8,1,234.66488345556107
221,0,1,0.01,300,8,2,1033.356102239742
222,0,1,0.01,300,8,4,13611.924922959231
223,0,1,0.01,300,8,6,19089.621206011852
224,0,1,0.01,300,8,8,36387.456739494875
225,0,1,0.01,500,1,1,166.40047231528243
226,0,1,0.01,500,1,2,373.6627203072192
227,0,1,0.01,500,1,4,538.5350910798949
228,0,1,0.01,500,1,6,544.101975090596
229,0,1,0.01,500,1,8,552.3694498456359
230,0,1,0.01,500,2,1,204.16259853930688
231,0,1,0.01,500,2,2,748.9097189515248
232,0,1,0.01,500,2,4,1362.2028912644246
233,0,1,0.01,500,2,6,1986.1162343311103
234,0,1,0.01,500,2,8,2623.148359443049
235,0,1,0.01,500,4,1,182.58975014544293
236,0,1,0.01,500,4,2,830.9628157094414
237,0,1,0.01,500,4,4,3303.4004652025847
238,0,1,0.01,500,4,6,7753.681066016247
239,0,1,0.01,500,4,8,11457.629333941126
240,0,1,0.01,500,6,1,168.6733754925635
241,0,1,0.01,500,6,2,1013.4268623521799
242,0,1,0.01,500,6,4,5319.977017892915
243,0,1,0.01,500,6,6,10276.697815006288
244,0,1,0.01,500,6,8,14689.603900072
245,0,1,0.01,500,8,1,179.61094112962846
246,0,1,0.01,500,8,2,984.0528779669701
247,0,1,0.01,500,8,4,3742.7449978051122
248,0,1,0.01,500,8,6,6873.056666570274
249,0,1,0.01,500,8,8,7200.280069164491
250,0,1,0.1,50,1,1,632.2397816594294
251,0,1,0.1,50,1,2,863.6528200841539
252,0,1,0.1,50,1,4,1867.5451271624522
253,0,1,0.1,50,1,6,2201.584585141476
254,0,1,0.1,50,1,8,1367.3966024303943
255,0,1,0.1,50,2,1,554.789572878453
256,0,1,0.1,50,2,2,2710.1145345903587
257,0,1,0.1,50,2,4,2463.91681121662
258,0,1,0.1,50,2,6,2117.253936215024
259,0,1,0.1,50,2,8,2778.7830158739007
260,0,1,0.1,50,4,1,319.5372601165705
261,0,1,0.1,50,4,2,715.0279776590482
262,0,1,0.1,50,4,4,2652.1650965671847
263,0,1,0.1,50,4,6,5525.883673529957
264,0,1,0.1,50,4,8,9358.681097889215
265,0,1,0.1,50,6,1,226.13464630899873
266,0,1,0.1,50,6,2,647.6142194748289
267,0,1,0.1,50,6,4,4544.030892115621
268,0,1,0.1,50,6,6,6992.46564799693
269,0,1,0.1,50,6,8,17199.157232602454
270,0,1,0.1,50,8,1,274.2790061165357
271,0,1,0.1,50,8,2,758.0102794864831
272,0,1,0.1,50,8,4,2590.726267984935
273,0,1,0.1,50,8,6,7158.8261710736515
274,0,1,0.1,50,8,8,12557.53305087425
275,0,1,0.1,100,1,1,439.5567473444905
276,0,1,0.1,100,1,2,700.0450241803597
277,0,1,0.1,100,1,4,858.1882003524258
278,0,1,0.1,100,1,6,1604.3659106691512
279,0,1,0.1,100,1,8,519.0393825956827
280,0,1,0.1,100,2,1,302.28699380844125
281,0,1,0.1,100,2,2,474.5959236506142
282,0,1,0.1,100,2,4,1374.9924270882177
283,0,1,0.1,100,2,6,1990.6930304358596
284,0,1,0.1,100,2,8,2830.404772010974
285,0,1,0.1,100,4,1,220.71336964462986
286,0,1,0.1,100,4,2,715.6049960228036
287,0,1,0.1,100,4,4,2287.640381858703
288,0,1,0.1,100,4,6,4237.180229190259
289,0,1,0.1,100,4,8,7712.074059129869
290,0,1,0.1,100,6,1,247.33389453034758
291,0,1,0.1,100,6,2,733.0149134512774
292,0,1,0.1,100,6,4,2397.032849764905
293,0,1,0.1,100,6,6,5986.057936045652
294,0,1,0.1,100,6,8,8992.72149853068
295,0,1,0.1,100,8,1,183.01989334130397
296,0,1,0.1,100,8,2,636.749728486495
297,0,1,0.1,100,8,4,2279.2403167880334
298,0,1,0.1,100,8,6,5605.605312997084
