,classical_samp,alpha,repetition,error
121,100,0.1,4,48.40130530818979
122,200,0.1,4,35.3323559937537
123,500,0.1,4,25.022344282629145
124,50,1.0,4,50.19270789998369
125,100,1.0,4,34.4469627377428
126,200,1.0,4,30.120905901620407
127,500,1.0,4,23.02147539912547
128,50,10.0,4,51.18996258135181
129,100,10.0,4,48.098720268400434
130,200,10.0,4,38.00868916821667
131,500,10.0,4,24.377756610766617
132,50,100.0,4,60.85946938394952
133,100,100.0,4,44.41116838084339
134,200,100.0,4,32.08124484928785
135,500,100.0,4,30.558630771894812
136,50,1000.0,4,65.0830639018455
137,100,1000.0,4,70.73254945109676
138,200,1000.0,4,63.57108905659239
139,500,1000.0,4,62.14557538318908
140,50,0.001,5,64.71436742356667
141,100,0.001,5,61.143421288935855
142,200,0.001,5,39.838704263181995
143,500,0.001,5,28.336343871013973
144,50,0.01,5,55.19555506511547
145,100,0.01,5,50.09899484167709
146,200,0.01,5,46.519926650992225
147,500,0.01,5,30.135281939680723
148,50,0.1,5,66.44663446016878
149,100,0.1,5,46.59700138069056
150,200,0.1,5,33.58261575229444
151,500,0.1,5,25.124168455107426
152,50,1.0,5,42.76524798417424
153,100,1.0,5,40.09313226716071
154,200,1.0,5,33.55720849712754
155,500,1.0,5,22.86399490738497
156,50,10.0,5,49.228568155779264
157,100,10.0,5,34.59306331566131
158,200,10.0,5,35.76197461423306
159,500,10.0,5,24.91857637322278
160,50,100.0,5,49.1939730763569
161,100,100.0,5,38.86415953641627
162,200,100.0,5,33.25708123601864
163,500,100.0,5,30.402900282340212
164,50,1000.0,5,63.466076211072235
165,100,1000.0,5,65.37952165511652
166,200,1000.0,5,60.68081524828306
167,500,1000.0,5,63.99526020640446
168,50,0.001,6,59.497217548706
169,100,0.001,6,54.22679132105805
170,200,0.001,6,42.461347693127244
171,500,0.001,6,30.011851041561474
172,50,0.01,6,61.381344401477094
173,100,0.01,6,52.94664330495038
174,200,0.01,6,44.14263593119416
175,500,0.01,6,28.846948382348184
176,50,0.1,6,59.67248033202994
177,100,0.1,6,50.613723831234665
178,200,0.1,6,36.69644277538807
179,500,0.1,6,27.244811532049148
180,50,1.0,6,46.2433535560741
181,100,1.0,6,38.216443924628
182,200,1.0,6,33.150018945090245
183,500,1.0,6,23.46575224765708
184,50,10.0,6,47.41830142438474
185,100,10.0,6,44.014936901093186
186,200,10.0,6,33.76126574702661
187,500,10.0,6,24.79372091903864
188,50,100.0,6,45.848872839396826
189,100,100.0,6,36.86641107036365
190,200,100.0,6,33.725872842961046
191,500,100.0,6,29.949391935801962
192,50,1000.0,6,63.691337860956544
193,100,1000.0,6,62.930936433602184
194,200,1000.0,6,61.78987203119691
195,500,1000.0,6,60.67783334604418
196,50,0.001,7,62.10846340034619
197,100,0.001,7,49.96954279429894
198,200,0.001,7,46.52973257568942
199,500,0.001,7,31.172041267667755
200,50,0.01,7,58.76716490403949
201,100,0.01,7,51.82211523725012
202,200,0.01,7,39.67928598752921
203,500,0.01,7,28.96718804899489
204,50,0.1,7,57.59559071834613
205,100,0.1,7,45.2034812990317
206,200,0.1,7,35.40743928058483
207,500,0.1,7,25.840501975463393
208,50,1.0,7,40.16132104609728
209,100,1.0,7,37.47225496688212
210,200,1.0,7,31.51519634729269
211,500,1.0,7,22.007248858582546
212,50,10.0,7,47.08770704480086
213,100,10.0,7,40.90765038866027
214,200,10.0,7,33.510731670126034
215,500,10.0,7,21.933952370703384
216,50,100.0,7,55.17401179963626
217,100,100.0,7,41.62229520787162
218,200,100.0,7,32.86041725795936
219,500,100.0,7,29.972509109639326
220,50,1000.0,7,54.85063662816177
221,100,1000.0,7,61.07431507872505
222,200,1000.0,7,65.68888039392515
223,500,1000.0,7,62.957808272581524
224,50,0.001,8,62.7982304749879
225,100,0.001,8,53.413913933689564
226,200,0.001,8,43.32960940361347
227,500,0.001,8,28.249761192022753
228,50,0.01,8,56.440805935185146
229,100,0.01,8,54.75133772640216
230,200,0.01,8,42.236337951169936
231,500,0.01,8,29.240162576354294
232,50,0.1,8,61.74733360899035
233,100,0.1,8,46.07122979695014
234,200,0.1,8,36.49423241400404
235,500,0.1,8,27.09583325778663
236,50,1.0,8,41.3314213887405
237,100,1.0,8,40.21420702461626
238,200,1.0,8,31.26388584229176
239,500,1.0,8,22.670413726004792
240,50,10.0,8,46.69846369755081
241,100,10.0,8,46.389543507020576
242,200,10.0,8,32.36108401900988
243,500,10.0,8,23.93947082295238
244,50,100.0,8,50.7733488320794
245,100,100.0,8,36.51826382766556
246,200,100.0,8,35.17352476560266
247,500,100.0,8,30.135206292022577
248,50,1000.0,8,61.652563572572355
249,100,1000.0,8,62.726200243216745
250,200,1000.0,8,61.50859072503348
251,500,1000.0,8,61.478037119682604
252,50,0.001,9,58.00511555677682
253,100,0.001,9,53.67843190386577
254,200,0.001,9,43.897134530643726
255,500,0.001,9,30.92994498336772
256,50,0.01,9,56.07446989073602
257,100,0.01,9,59.204077902374436
258,200,0.01,9,45.20361850359545
259,500,0.01,9,27.251298087661915
260,50,0.1,9,55.502174090230355
261,100,0.1,9,48.61988851787022
262,200,0.1,9,39.80938710653613
263,500,0.1,9,24.467558803949636
264,50,1.0,9,48.643234115024015
265,100,1.0,9,38.95167478858282
266,200,1.0,9,32.56989481122098
267,500,1.0,9,24.483023113961462
268,50,10.0,9,49.41339821021316
269,100,10.0,9,42.882562029994894
270,200,10.0,9,31.39131159811565
271,500,10.0,9,24.178044903163215
272,50,100.0,9,46.30467444847154
273,100,100.0,9,37.61746878339735
274,200,100.0,9,31.380561104554012
275,500,100.0,9,29.242730496999638
276,50,1000.0,9,54.86841957668985
277,100,1000.0,9,57.15225603397026
278,200,1000.0,9,64.84628383063797
279,500,1000.0,9,66.24721475626701
280,50,0.001,10,59.11721038238933
281,100,0.001,10,52.70698747092644
282,200,0.001,10,43.20568414147784
283,500,0.001,10,27.142848416089887
284,50,0.01,10,57.54370821138096
285,100,0.01,10,46.40533290475922
286,200,0.01,10,46.299343275990076
287,500,0.01,10,28.269310345004918
288,50,0.1,10,54.88664067035408
289,100,0.1,10,45.20615714502009
290,200,0.1,10,37.41083062389028
291,500,0.1,10,24.932536973509098
292,50,1.0,10,44.859087489636686
293,100,1.0,10,36.931415791963516
294,200,1.0,10,31.587382313767762
295,500,1.0,10,23.92249306943212
296,50,10.0,10,46.30300908084742
297,100,10.0,10,37.67883635783283
298,200,10.0,10,31.714705369666586
299,500,10.0,10,25.616874015907722
300,50,100.0,10,46.24008173974136
301,100,100.0,10,38.90772007325274
302,200,100.0,10,31.469773601722473
303,500,100.0,10,30.010501893402125
304,50,1000.0,10,62.9270551559547
305,100,1000.0,10,54.76916322988368
306,200,1000.0,10,62.48997379649283
307,500,1000.0,10,61.93282362050323
308,50,0.001,11,58.69441681747553
309,100,0.001,11,55.082525332158966
310,200,0.001,11,44.11742664571636
311,500,0.001,11,30.61740603631682
312,50,0.01,11,58.16987918059221
313,100,0.01,11,50.307771218575986
314,200,0.01,11,42.658708823220664
315,500,0.01,11,30.940180511139747
316,50,0.1,11,60.21783148161616
317,100,0.1,11,44.49663489511411
318,200,0.1,11,38.038180623019144
319,500,0.1,11,21.721353056623016
320,50,1.0,11,44.870724405593165
321,100,1.0,11,37.52049997669421
322,200,1.0,11,30.881551588353247
323,500,1.0,11,23.67999626572736
324,50,10.0,11,44.46774453745507
325,100,10.0,11,37.47666024864653
326,200,10.0,11,32.71388581230692
327,500,10.0,11,24.179110559034097
328,50,100.0,11,48.44677265163394
329,100,100.0,11,37.16865905732791
330,200,100.0,11,32.833971674747986
331,500,100.0,11,29.48603993117827
332,50,1000.0,11,67.38982725099576
333,100,1000.0,11,59.251334613857914
334,200,1000.0,11,64.66872631313348
335,500,1000.0,11,60.191099194859056
336,50,0.001,12,61.8289388019333
337,100,0.001,12,50.745606529960874
338,200,0.001,12,44.82961287752305
339,500,0.001,12,32.046985622960634
340,50,0.01,12,59.74643862051644
341,100,0.01,12,48.86319631599459
342,200,0.01,12,40.76867385486441
343,500,0.01,12,29.279751468420784
344,50,0.1,12,60.50727933705651
345,100,0.1,12,47.66311491589881
346,200,0.1,12,37.554277607645425
347,500,0.1,12,26.405672947312475
348,50,1.0,12,54.45128771455041
349,100,1.0,12,38.9984848125116
350,200,1.0,12,31.819390980826533
351,500,1.0,12,23.339718933718633
352,50,10.0,12,43.778440317465446
353,100,10.0,12,42.37515502939277
354,200,10.0,12,33.16748960973042
355,500,10.0,12,26.03249174382601
356,50,100.0,12,50.32395389192397
357,100,100.0,12,38.29667776112066
358,200,100.0,12,30.5388695014323
359,500,100.0,12,30.172760869196225
360,50,1000.0,12,67.89585117963694
361,100,1000.0,12,60.806138419052544
362,200,1000.0,12,56.409064870996545
363,500,1000.0,12,63.93366802273591
364,50,0.001,13,64.39399757331059
365,100,0.001,13,54.620165901343746
366,200,0.001,13,40.05045660889258
367,500,0.001,13,33.25388931242498
368,50,0.01,13,56.265882081436764
369,100,0.01,13,51.20384479169794
370,200,0.01,13,43.85000158779424
371,500,0.01,13,32.157472719893306
372,50,0.1,13,60.04407698288155
373,100,0.1,13,46.32855348894001
374,200,0.1,13,37.50958390176658
375,500,0.1,13,24.015339787658487
376,50,1.0,13,45.81734198527694
377,100,1.0,13,37.10927267140012
378,200,1.0,13,31.33256967686164
379,500,1.0,13,22.94505423239906
380,50,10.0,13,51.01112050854752
381,100,10.0,13,43.93613275102119
382,200,10.0,13,31.602213136778055
383,500,10.0,13,22.448365171570096
384,50,100.0,13,47.439987167593195
385,100,100.0,13,41.048888723861275
386,200,100.0,13,32.17096140627089
387,500,100.0,13,29.66500305421469
388,50,1000.0,13,52.78659993586299
389,100,1000.0,13,58.680614753240775
390,200,1000.0,13,68.27031833630731
391,500,1000.0,13,64.8600520494075
392,50,0.001,14,56.85775159567354
393,100,0.001,14,54.0635605428942
394,200,0.001,14,42.98766405453743
395,500,0.001,14,27.220913029378416
396,50,0.01,14,60.62461728080241
397,100,0.01,14,54.24067003242918
398,200,0.01,14,44.89063505168677
399,500,0.01,14,29.83123860710755
400,50,0.1,14,60.92135343389064
401,100,0.1,14,40.91445466033825
402,200,0.1,14,34.78160318223292
403,500,0.1,14,25.57601842006195
404,50,1.0,14,43.603410853708446
405,100,1.0,14,40.305066961959575
406,200,1.0,14,28.806246482641217
407,500,1.0,14,21.463532756865614
408,50,10.0,14,47.0943919726566
409,100,10.0,14,42.1642790356901
410,200,10.0,14,32.66536514060782
411,500,10.0,14,24.061252980001033
412,50,100.0,14,54.80395892816939
413,100,100.0,14,38.464905862255726
414,200,100.0,14,34.18598265622783
415,500,100.0,14,30.212402652276676
416,50,1000.0,14,56.590324361229385
417,100,1000.0,14,64.66540584088376
418,200,1000.0,14,62.17049945659229
419,500,1000.0,14,62.086921434990685
420,50,0.001,15,62.92868665975638
421,100,0.001,15,55.95820531837094
422,200,0.001,15,42.16897883037512
423,500,0.001,15,31.393384119936147
424,50,0.01,15,67.20306807597476
425,100,0.01,15,57.607769987287426
426,200,0.01,15,45.73581505810581
427,500,0.01,15,29.632043180566374
428,50,0.1,15,59.550652003199986
429,100,0.1,15,49.52224348477049
430,200,0.1,15,33.1487237949176
431,500,0.1,15,26.719514029216512
432,50,1.0,15,39.2054740470168
433,100,1.0,15,37.324143418078755
434,200,1.0,15,31.745808493082276
