,rep,alp,num_cell,cell_size,sparse_freq,error
0,0.0,0.01,50,2.0,2.0,137.53418477365457
1,0.0,0.01,50,2.0,4.0,154.2239664449702
2,0.0,0.01,50,2.0,8.0,162.91321558634556
3,0.0,0.01,50,4.0,2.0,141.07122824408052
4,0.0,0.01,50,4.0,4.0,155.9022000586386
5,0.0,0.01,50,4.0,8.0,177.96346834967878
6,0.0,0.01,50,8.0,2.0,153.21643364664965
7,0.0,0.01,50,8.0,4.0,180.11093639611354
8,0.0,0.01,50,8.0,8.0,190.25049559920896
9,0.0,0.01,200,2.0,2.0,109.74747557984503
10,0.0,0.01,200,2.0,4.0,134.64239069433967
11,0.0,0.01,200,2.0,8.0,143.97415150337557
12,0.0,0.01,200,4.0,2.0,109.97903872091852
13,0.0,0.01,200,4.0,4.0,110.06813638823789
14,0.0,0.01,200,4.0,8.0,128.8410963127063
15,0.0,0.01,200,8.0,2.0,117.47050177223682
16,0.0,0.01,200,8.0,4.0,130.78520488706778
17,0.0,0.01,200,8.0,8.0,131.32929987611647
18,0.0,0.01,500,2.0,2.0,33.39338240709416
19,0.0,0.01,500,2.0,4.0,31.215998836718704
20,0.0,0.01,500,2.0,8.0,49.843703697446166
21,0.0,0.01,500,4.0,2.0,9.443510453160682
22,0.0,0.01,500,4.0,4.0,11.577304249860918
23,0.0,0.01,500,4.0,8.0,32.39989765998784
24,0.0,0.01,500,8.0,2.0,8.06001207866663
25,0.0,0.01,500,8.0,4.0,9.615627134345818
26,0.0,0.01,500,8.0,8.0,11.29494821834642
27,0.0,0.1,50,2.0,2.0,73.92036718017243
28,0.0,0.1,50,2.0,4.0,87.66191290040479
29,0.0,0.1,50,2.0,8.0,98.59883259823053
30,0.0,0.1,50,4.0,2.0,79.1235871874371
31,0.0,0.1,50,4.0,4.0,96.28026382451348
32,0.0,0.1,50,4.0,8.0,109.9462116513431
33,0.0,0.1,50,8.0,2.0,79.26519547881298
34,0.0,0.1,50,8.0,4.0,109.91489233899038
35,0.0,0.1,50,8.0,8.0,125.49438508076007
36,0.0,0.1,200,2.0,2.0,31.61251789784858
37,0.0,0.1,200,2.0,4.0,28.35662408102313
38,0.0,0.1,200,2.0,8.0,28.566174226995134
39,0.0,0.1,200,4.0,2.0,22.973195171342955
40,0.0,0.1,200,4.0,4.0,13.684781017844154
41,0.0,0.1,200,4.0,8.0,15.81959609681941
42,0.0,0.1,200,8.0,2.0,16.1241724556
43,0.0,0.1,200,8.0,4.0,12.508701347682644
44,0.0,0.1,200,8.0,8.0,13.979395827088869
45,0.0,0.1,500,2.0,2.0,8.99379473920965
46,0.0,0.1,500,2.0,4.0,11.094314775731648
47,0.0,0.1,500,2.0,8.0,12.415186356410615
48,0.0,0.1,500,4.0,2.0,9.380866287994538
49,0.0,0.1,500,4.0,4.0,13.140127855256592
50,0.0,0.1,500,4.0,8.0,15.509502574389046
51,0.0,0.1,500,8.0,2.0,9.3970058298851
52,0.0,0.1,500,8.0,4.0,11.652654261964393
53,0.0,0.1,500,8.0,8.0,13.376654549339795
54,0.0,1.0,50,2.0,2.0,39.60318244515124
55,0.0,1.0,50,2.0,4.0,41.212709621998975
56,0.0,1.0,50,2.0,8.0,42.886296243877
57,0.0,1.0,50,4.0,2.0,36.08553225282912
58,0.0,1.0,50,4.0,4.0,35.59359893900739
59,0.0,1.0,50,4.0,8.0,31.674209787196123
60,0.0,1.0,50,8.0,2.0,31.316486097312296
61,0.0,1.0,50,8.0,4.0,26.140073744210884
62,0.0,1.0,50,8.0,8.0,22.090287300061707
63,0.0,1.0,200,2.0,2.0,13.486243550603747
64,0.0,1.0,200,2.0,4.0,14.173648475117174
65,0.0,1.0,200,2.0,8.0,14.837192604846463
66,0.0,1.0,200,4.0,2.0,12.588204878738342
67,0.0,1.0,200,4.0,4.0,14.688932308402809
68,0.0,1.0,200,4.0,8.0,16.954038983859007
69,0.0,1.0,200,8.0,2.0,12.562871367625783
70,0.0,1.0,200,8.0,4.0,15.004524692938006
71,0.0,1.0,200,8.0,8.0,17.327282485224103
72,0.0,1.0,500,2.0,2.0,10.356255753584042
73,0.0,1.0,500,2.0,4.0,12.571218625086694
74,0.0,1.0,500,2.0,8.0,13.508911723501976
75,0.0,1.0,500,4.0,2.0,11.050412228174913
76,0.0,1.0,500,4.0,4.0,14.334164410531384
77,0.0,1.0,500,4.0,8.0,16.715171587876632
78,0.0,1.0,500,8.0,2.0,11.322219803792912
79,0.0,1.0,500,8.0,4.0,14.589300290037245
80,0.0,1.0,500,8.0,8.0,17.02875577528771
81,0.0,10.0,50,2.0,2.0,29.55364018721602
82,0.0,10.0,50,2.0,4.0,26.41408849543974
83,0.0,10.0,50,2.0,8.0,25.0190505875716
84,0.0,10.0,50,4.0,2.0,26.382917689191956
85,0.0,10.0,50,4.0,4.0,21.670840149961325
86,0.0,10.0,50,4.0,8.0,21.83840470953793
87,0.0,10.0,50,8.0,2.0,24.473489938039375
88,0.0,10.0,50,8.0,4.0,20.164099390645738
89,0.0,10.0,50,8.0,8.0,22.138937401914497
90,0.0,10.0,200,2.0,2.0,14.491448610291071
91,0.0,10.0,200,2.0,4.0,15.366731482732506
92,0.0,10.0,200,2.0,8.0,16.25301098437916
93,0.0,10.0,200,4.0,2.0,14.261123598835736
94,0.0,10.0,200,4.0,4.0,16.410780508203374
95,0.0,10.0,200,4.0,8.0,18.840283025895594
96,0.0,10.0,200,8.0,2.0,14.337606606257573
97,0.0,10.0,200,8.0,4.0,17.138793402346913
98,0.0,10.0,200,8.0,8.0,20.997094543735436
99,0.0,10.0,500,2.0,2.0,12.905019927809418
100,0.0,10.0,500,2.0,4.0,14.420609539550938
101,0.0,10.0,500,2.0,8.0,15.241787309344687
102,0.0,10.0,500,4.0,2.0,13.382048131310869
103,0.0,10.0,500,4.0,4.0,16.060287026278672
104,0.0,10.0,500,4.0,8.0,18.59512072727845
105,0.0,10.0,500,8.0,2.0,13.66761512876718
