rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,1,0.1,500,8,4,102.54586275813878
0,1,0.1,500,8,8,114.17640526067332
0,1,1.0,50,2,2,180.45822810954823
0,1,1.0,50,2,4,177.7082216549426
0,1,1.0,50,2,8,177.12833755137714
0,1,1.0,50,4,2,171.40748333969736
0,1,1.0,50,4,4,163.36904640703543
0,1,1.0,50,4,8,156.30415975413231
0,1,1.0,50,8,2,168.71292995610918
0,1,1.0,50,8,4,155.77554561229863
0,1,1.0,50,8,8,160.60796199933728
0,1,1.0,100,2,2,149.4250316515808
0,1,1.0,100,2,4,144.10010847607776
0,1,1.0,100,2,8,144.8517665187789
0,1,1.0,100,4,2,138.00354991714482
0,1,1.0,100,4,4,117.03988050920145
0,1,1.0,100,4,8,122.46140858536783
0,1,1.0,100,8,2,133.6378286000662
0,1,1.0,100,8,4,109.67162539818797
0,1,1.0,100,8,8,141.97096405553208
0,1,1.0,200,2,2,92.24137207456579
0,1,1.0,200,2,4,90.44240362216897
0,1,1.0,200,2,8,98.15714203029331
0,1,1.0,200,4,2,72.87230123819505
0,1,1.0,200,4,4,71.47585499836852
0,1,1.0,200,4,8,98.54643688524878
0,1,1.0,200,8,2,63.65754302129717
0,1,1.0,200,8,4,62.72947901412886
0,1,1.0,200,8,8,118.27362906774792
0,1,1.0,500,2,2,15.484599676725178
0,1,1.0,500,2,4,32.3483141051517
0,1,1.0,500,2,8,48.12987519378617
0,1,1.0,500,4,2,16.36710592536354
0,1,1.0,500,4,4,45.958801811276835
0,1,1.0,500,4,8,84.41164984549629
0,1,1.0,500,8,2,16.616259579022618
0,1,1.0,500,8,4,37.404687630540124
0,1,1.0,500,8,8,97.41370683213978
0,1,10.0,50,2,2,187.27436268791843
0,1,10.0,50,2,4,183.39654163814748
0,1,10.0,50,2,8,181.4034431812088
0,1,10.0,50,4,2,184.89141008385607
0,1,10.0,50,4,4,169.5504206043315
0,1,10.0,50,4,8,151.242955080011
0,1,10.0,50,8,2,185.27104278567484
0,1,10.0,50,8,4,161.0124791089265
0,1,10.0,50,8,8,129.79174115631432
0,1,10.0,100,2,2,160.98426736055907
0,1,10.0,100,2,4,154.88404669521265
0,1,10.0,100,2,8,152.18650625166842
0,1,10.0,100,4,2,157.99930079824523
0,1,10.0,100,4,4,127.20929825524372
0,1,10.0,100,4,8,105.17625135906427
0,1,10.0,100,8,2,157.74089507655654
0,1,10.0,100,8,4,113.16475901917703
0,1,10.0,100,8,8,96.27154173126372
0,1,10.0,200,2,2,110.30994628025186
0,1,10.0,200,2,4,107.26575076880032
0,1,10.0,200,2,8,108.25556492762426
0,1,10.0,200,4,2,104.58443051759403
0,1,10.0,200,4,4,69.96397682799962
0,1,10.0,200,4,8,76.39765339488108
0,1,10.0,200,8,2,103.60495246626539
0,1,10.0,200,8,4,60.78642380373809
0,1,10.0,200,8,8,72.03377988265886
0,1,10.0,500,2,2,28.064625275130542
0,1,10.0,500,2,4,44.623355653530744
0,1,10.0,500,2,8,55.82821844025337
0,1,10.0,500,4,2,31.112220132074004
0,1,10.0,500,4,4,44.39676366816103
0,1,10.0,500,4,8,60.63699294558286
0,1,10.0,500,8,2,34.04934225469407
0,1,10.0,500,8,4,39.68108261969542
0,1,10.0,500,8,8,55.03843892423102
0,2,0.01,50,2,2,178.81275475386198
0,2,0.01,50,2,4,196.2616521984293
0,2,0.01,50,2,8,205.54500858238106
0,2,0.01,50,4,2,178.93592584885576
0,2,0.01,50,4,4,215.7193803243368
0,2,0.01,50,4,8,229.62276360051413
0,2,0.01,50,8,2,177.59265974100472
0,2,0.01,50,8,4,222.3104416711993
0,2,0.01,50,8,8,237.70370331873596
0,2,0.01,100,2,2,171.26160930627177
