epoch,arch,structured,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5,best_acc1
1,alexnet,True,6.084626213030044,2.73781418800354,8.519412994384766,4.921489013214111,9.630000114440918,24.849998474121094,9.630000114440918
2,alexnet,True,4.86059887851401,11.029623031616211,27.0059814453125,4.140092207794189,18.70199966430664,39.91999816894531,18.70199966430664
3,alexnet,True,4.336411709453349,16.993555068969727,36.748497009277344,3.674423448181152,25.15799903869629,49.30399703979492,25.15799903869629
4,alexnet,True,4.034657798909677,21.003801345825195,42.4995002746582,3.4293093197631834,28.52199935913086,53.753997802734375,28.52199935913086
5,alexnet,True,3.837371058220073,23.67823600769043,46.16100311279297,3.239618237762451,31.613998413085938,56.92799758911133,31.613998413085938
6,alexnet,True,3.692569298937323,25.71590805053711,48.80702590942383,3.1002916331481933,34.02000045776367,59.79800033569336,34.02000045776367
7,alexnet,True,3.5824251038109933,27.344266891479492,50.901676177978516,3.015848654022217,35.492000579833984,61.3599967956543,35.492000579833984
8,alexnet,True,3.4947463880507046,28.677425384521484,52.48507308959961,2.9848140777587893,36.2760009765625,61.90599822998047,36.2760009765625
9,alexnet,True,3.424567834284039,29.713823318481445,53.719261169433594,2.8604781144714355,38.077999114990234,63.89799880981445,38.077999114990234
10,alexnet,True,3.36756484437322,30.608007431030273,54.7487907409668,2.8367721835327147,38.60199737548828,64.58000183105469,38.60199737548828
11,alexnet,True,3.326049385361049,31.340620040893555,55.49748229980469,2.7575287953186036,39.8859977722168,65.62999725341797,39.8859977722168
12,alexnet,True,3.2803501365898584,31.92087173461914,56.29191207885742,2.739934759216309,40.25600051879883,65.88600158691406,40.25600051879883
13,alexnet,True,3.24320015894127,32.53609085083008,56.91524887084961,2.746609123535156,40.753997802734375,66.08599853515625,40.753997802734375
14,alexnet,True,3.214807902219962,33.073570251464844,57.470523834228516,2.6933513246154783,41.14399719238281,66.71599578857422,41.14399719238281
15,alexnet,True,3.189177043172393,33.35737228393555,57.8934211730957,2.7093800549316405,41.2140007019043,66.95999908447266,41.2140007019043
16,alexnet,True,3.1668334648322216,33.783233642578125,58.332706451416016,2.647330781173706,41.93199920654297,67.66199493408203,41.93199920654297
17,alexnet,True,3.139094402199539,34.20378875732422,58.76262664794922,2.613864013671875,42.555999755859375,68.13600158691406,42.555999755859375
18,alexnet,True,3.1229993919538206,34.44403839111328,59.10684585571289,2.6143549807739257,42.77199935913086,68.22000122070312,42.77199935913086
19,alexnet,True,3.1003819500378853,34.84070587158203,59.471981048583984,2.561678839111328,43.53999710083008,68.86199951171875,43.53999710083008
20,alexnet,True,3.08827233281166,35.0181999206543,59.655250549316406,2.5917876475524904,43.08799743652344,68.23999786376953,43.53999710083008
21,alexnet,True,3.068757453318571,35.30840301513672,60.07767868041992,2.5961263084411623,43.09000015258789,68.32799530029297,43.53999710083008
22,alexnet,True,3.0531415236756554,35.4894905090332,60.26765823364258,2.5902887564086914,43.391998291015625,68.76799774169922,43.53999710083008
23,alexnet,True,3.041568360079099,35.739105224609375,60.49869918823242,2.5644638110351563,43.56399917602539,69.15399932861328,43.56399917602539
24,alexnet,True,3.0307740426380048,35.92331314086914,60.67229080200195,2.5217530345153807,44.163997650146484,69.60399627685547,44.163997650146484
25,alexnet,True,3.0143405153896885,36.22132110595703,60.95843505859375,2.4802572956848143,45.0,70.4939956665039,45.0
26,alexnet,True,3.0021901810978955,36.4010009765625,61.17230224609375,2.482798427734375,44.87799835205078,70.39399719238281,45.0
27,alexnet,True,2.9913917877421223,36.6126823425293,61.37477493286133,2.4948574476623535,44.87999725341797,70.0979995727539,45.0
28,alexnet,True,2.9825542967157483,36.70353698730469,61.52713394165039,2.5068276223754884,44.58799743652344,69.93999481201172,45.0
29,alexnet,True,2.969047594860667,36.90522766113281,61.72071075439453,2.533195477142334,44.38399887084961,69.50999450683594,45.0
30,alexnet,True,2.963695331768716,37.1495361328125,61.76082992553711,2.4677007499694823,45.29199981689453,70.57599639892578,45.29199981689453
31,alexnet,True,2.6279374582550457,42.8388786315918,67.30123901367188,2.18632063873291,50.913997650146484,74.75799560546875,50.913997650146484
32,alexnet,True,2.5462708581735995,44.34781265258789,68.62347412109375,2.1555329106140135,51.64399719238281,75.31199645996094,51.64399719238281
33,alexnet,True,2.5079752369419364,45.053260803222656,69.22480010986328,2.1258372884368897,52.19599914550781,75.70399475097656,52.19599914550781
34,alexnet,True,2.474815712745917,45.610721588134766,69.79786682128906,2.111370511779785,52.44999694824219,75.93199920654297,52.44999694824219
35,alexnet,True,2.452188978990425,46.010826110839844,70.1405258178711,2.101539323654175,52.551998138427734,76.02799987792969,52.551998138427734
36,alexnet,True,2.4342223949964037,46.40047073364258,70.41574096679688,2.083359833831787,52.843997955322266,76.39599609375,52.843997955322266
37,alexnet,True,2.4147923214709834,46.782623291015625,70.7544937133789,2.071184821548462,53.16600036621094,76.6500015258789,53.16600036621094
38,alexnet,True,2.395452641964989,47.03286361694336,71.02143859863281,2.0568331047058104,53.34599685668945,76.75599670410156,53.34599685668945
39,alexnet,True,2.3860800960830852,47.206764221191406,71.22984313964844,2.057824877243042,53.343997955322266,76.77399444580078,53.34599685668945
40,alexnet,True,2.3701433108253798,47.47667694091797,71.41795349121094,2.0534606883239745,53.44599914550781,76.81999969482422,53.44599914550781
41,alexnet,True,2.356756122436853,47.77593231201172,71.64087677001953,2.0417493394470214,53.79199981689453,77.00999450683594,53.79199981689453
42,alexnet,True,2.3461582570813637,47.97138214111328,71.78823852539062,2.0318041355133056,53.9839973449707,77.19400024414062,53.9839973449707
