,rep,alp,num_cell,error
0,0,0.001,50,30.076099262141224
1,0,0.001,100,24.888112814853265
2,0,0.001,200,19.538504609719578
3,0,0.001,500,13.236485048455586
4,0,0.01,50,29.454275676399476
5,0,0.01,100,24.221146239823135
6,0,0.01,200,19.460335322879363
7,0,0.01,500,12.759854416689377
8,0,0.1,50,26.924062824852086
9,0,0.1,100,21.087540770866088
10,0,0.1,200,15.597364966053636
11,0,0.1,500,8.092164815961882
12,0,1.0,50,26.6330397381632
13,0,1.0,100,20.217148494822872
14,0,1.0,200,12.896287522871013
15,0,1.0,500,5.844184410553841
16,0,10.0,50,29.79144087130115
17,0,10.0,100,21.713273797442096
18,0,10.0,200,13.669822669619663
19,0,10.0,500,6.365248158929537
20,0,100.0,50,29.07986351526861
21,0,100.0,100,21.859351702794278
22,0,100.0,200,16.816741748613218
23,0,100.0,500,15.551936229598613
24,0,1000.0,50,44.86261750570168
25,0,1000.0,100,45.28648263039649
26,0,1000.0,200,44.850485903894395
27,0,1000.0,500,44.88427689489861
28,1,0.001,50,29.520196305219272
29,1,0.001,100,24.59716183797225
30,1,0.001,200,19.622793085692127
31,1,0.001,500,12.988741474459026
32,1,0.01,50,29.540252572789708
33,1,0.01,100,24.66360584376406
34,1,0.01,200,19.683408087906884
35,1,0.01,500,12.624439189276885
36,1,0.1,50,26.37959307410968
37,1,0.1,100,21.2393182273685
38,1,0.1,200,15.568304488439818
39,1,0.1,500,8.293671817597895
40,1,1.0,50,26.50217328066951
41,1,1.0,100,19.364947855450993
42,1,1.0,200,12.797872539388093
43,1,1.0,500,5.697443057315924
44,1,10.0,50,29.19660471158539
45,1,10.0,100,21.507178416745116
46,1,10.0,200,13.707876427793911
47,1,10.0,500,6.498515619834307
48,1,100.0,50,29.964414280934356
49,1,100.0,100,21.818195025844624
50,1,100.0,200,17.17992553268476
51,1,100.0,500,15.603547773663527
52,1,1000.0,50,45.47789445403303
53,1,1000.0,100,45.06151762802893
54,1,1000.0,200,44.9622798928077
55,1,1000.0,500,44.942983661473875
56,2,0.001,50,30.06002207356123
57,2,0.001,100,24.51928730263385
58,2,0.001,200,19.88337809239754
59,2,0.001,500,12.850182177962923
60,2,0.01,50,29.257683812509047
61,2,0.01,100,24.567262842957714
62,2,0.01,200,19.548417162417735
63,2,0.01,500,12.602801910579824
64,2,0.1,50,26.55314834232748
65,2,0.1,100,21.069896904648342
66,2,0.1,200,15.379982613899712
67,2,0.1,500,8.431968175390073
68,2,1.0,50,26.782459138262038
69,2,1.0,100,20.074821135031705
70,2,1.0,200,12.67625673222229
71,2,1.0,500,5.763031828660527
72,2,10.0,50,30.560550058018144
73,2,10.0,100,21.29853672141325
74,2,10.0,200,13.565495032878843
75,2,10.0,500,6.554980229421403
76,2,100.0,50,30.39790428868482
77,2,100.0,100,22.111782716597183
78,2,100.0,200,17.17890088065966
79,2,100.0,500,15.470474794347743
80,2,1000.0,50,45.14193640230399
81,2,1000.0,100,44.951451667877876
82,2,1000.0,200,44.883756712965784
83,2,1000.0,500,44.99152608134578
84,3,0.001,50,29.832150171214455
85,3,0.001,100,24.91511467870708
86,3,0.001,200,19.718299437391572
87,3,0.001,500,12.933376373796191
88,3,0.01,50,30.146114753160038
89,3,0.01,100,24.361928711755166
90,3,0.01,200,19.31073147969185
91,3,0.01,500,12.541145964466356
92,3,0.1,50,26.546688552929172
93,3,0.1,100,21.146064503976802
94,3,0.1,200,15.362026913142905
95,3,0.1,500,8.450445571979635
96,3,1.0,50,26.718991712402648
97,3,1.0,100,20.369468452960483
98,3,1.0,200,12.988165530499534
99,3,1.0,500,5.849481882479595
100,3,10.0,50,31.03604768081387
101,3,10.0,100,21.418498345603393
102,3,10.0,200,13.600866520147786
103,3,10.0,500,6.50904451685967
104,3,100.0,50,29.585897142953396
105,3,100.0,100,21.83280354019622
106,3,100.0,200,16.957002342285598
107,3,100.0,500,15.666381116388543
108,3,1000.0,50,45.08384412851026
109,3,1000.0,100,45.11100015068084
110,3,1000.0,200,45.02112625970593
111,3,1000.0,500,45.03267322755801
112,4,0.001,50,29.251402796827975
113,4,0.001,100,24.86522417290754
114,4,0.001,200,19.155596823081172
115,4,0.001,500,13.148892699061232
116,4,0.01,50,29.940396927296447
117,4,0.01,100,24.643399098757154
118,4,0.01,200,19.112018742312234
119,4,0.01,500,12.857709366564066
120,4,0.1,50,26.704651156719866
121,4,0.1,100,21.217746626624162
122,4,0.1,200,15.218743608226648
123,4,0.1,500,8.338991787206629
124,4,1.0,50,26.47689884858005
125,4,1.0,100,20.165977697452227
126,4,1.0,200,13.031847018463901
127,4,1.0,500,5.679840295722417
128,4,10.0,50,30.158163091033753
129,4,10.0,100,21.61617262056831
130,4,10.0,200,13.365940483959665
131,4,10.0,500,6.560207874912239
132,4,100.0,50,28.517597387372785
133,4,100.0,100,21.503902435995347
134,4,100.0,200,17.259307230177978
135,4,100.0,500,15.556685376387296
136,4,1000.0,50,45.271301229662654
137,4,1000.0,100,45.04726420064698
138,4,1000.0,200,44.73901603199912
139,4,1000.0,500,44.90185525370426
140,5,0.001,50,29.43913585223864
141,5,0.001,100,24.801753640470228
142,5,0.001,200,19.783015698156976
