epoch,arch,structured,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5,best_acc1
1,alexnet,False,6.513275377229897,0.867177426815033,3.3522534370422363,5.548482840728759,4.2779998779296875,13.696000099182129,4.2779998779296875
2,alexnet,False,5.160799419461721,8.036104202270508,21.28666877746582,4.373040852355957,15.691999435424805,35.625999450683594,15.691999435424805
3,alexnet,False,4.44575010564348,15.486961364746094,34.564395904541016,3.8068221112060545,22.996000289916992,46.439998626708984,22.996000289916992
4,alexnet,False,4.074402101804542,20.247304916381836,41.70054244995117,3.477328918914795,28.01999855041504,52.63199996948242,28.01999855041504
5,alexnet,False,3.833396631788255,23.602680206298828,46.184574127197266,3.226532798156738,32.03799819946289,56.98999786376953,32.03799819946289
6,alexnet,False,3.684649409618118,25.771326065063477,49.01449203491211,3.0937898721313477,33.795997619628906,59.49399948120117,33.795997619628906
7,alexnet,False,3.570598939766501,27.496471405029297,51.0699577331543,3.00894142578125,35.49799728393555,61.18199920654297,35.49799728393555
8,alexnet,False,3.473806770577391,28.926103591918945,52.83506774902344,2.9105190634155274,36.9640007019043,62.709999084472656,36.9640007019043
9,alexnet,False,3.405736092109895,29.968433380126953,54.03818893432617,2.856476261138916,38.242000579833984,63.913997650146484,38.242000579833984
10,alexnet,False,3.347778387782996,30.830772399902344,55.09644317626953,2.80014978515625,38.907997131347656,65.0999984741211,38.907997131347656
11,alexnet,False,3.3078329387675893,31.539968490600586,55.76988983154297,2.740547551574707,39.85799789428711,66.15399932861328,39.85799789428711
12,alexnet,False,3.260528898324888,32.171268463134766,56.61786651611328,2.703197115936279,40.65999984741211,66.56800079345703,40.65999984741211
13,alexnet,False,3.227864288618873,32.72576141357422,57.19577407836914,2.7389339613342285,40.189998626708984,65.81199645996094,40.65999984741211
14,alexnet,False,3.197454089713347,33.311946868896484,57.746524810791016,2.6975815830993652,40.933998107910156,66.60800170898438,40.933998107910156
15,alexnet,False,3.1688821700073273,33.645389556884766,58.259647369384766,2.67176301574707,41.43600082397461,67.22200012207031,41.43600082397461
16,alexnet,False,3.144564158692594,34.08842468261719,58.709861755371094,2.5862054510498047,42.6719970703125,68.4020004272461,42.6719970703125
17,alexnet,False,3.1230861062616344,34.32086944580078,59.045806884765625,2.6047882908630373,42.64999771118164,68.41799926757812,42.6719970703125
18,alexnet,False,3.1039428810892686,34.777015686035156,59.38081359863281,2.577670262145996,43.2239990234375,68.66600036621094,43.2239990234375
19,alexnet,False,3.0828661546242304,35.056602478027344,59.71441650390625,2.581095526123047,43.231998443603516,68.60199737548828,43.231998443603516
20,alexnet,False,3.06550135986821,35.32979202270508,60.0292854309082,2.5424177587890626,43.80999755859375,69.44999694824219,43.80999755859375
21,alexnet,False,3.052537541253512,35.59064865112305,60.30059814453125,2.538436361541748,43.69199752807617,69.4000015258789,43.80999755859375
22,alexnet,False,3.032690558480518,35.8316764831543,60.583465576171875,2.5291983377075193,43.78199768066406,69.5260009765625,43.80999755859375
23,alexnet,False,3.017425163163234,36.0847282409668,60.936424255371094,2.4967447393798827,44.50199890136719,70.2760009765625,44.50199890136719
