,rep,alp,num_cell,error
0,0,0.001,50,57.84062093215023
1,0,0.001,100,54.65953748752502
2,0,0.001,200,44.33439164684697
3,0,0.001,300,33.02722985640772
4,0,0.001,500,28.5652554273981
5,0,0.01,50,58.93692160758213
6,0,0.01,100,52.70599047880598
7,0,0.01,200,45.80145882728652
8,0,0.01,300,36.764113662811646
9,0,0.01,500,29.79138536775529
10,0,0.1,50,62.115322979391365
11,0,0.1,100,45.20042434107552
12,0,0.1,200,33.443007732787144
13,0,0.1,300,31.076512367863465
14,0,0.1,500,25.068677387543467
15,0,1.0,50,41.575276206105485
16,0,1.0,100,38.037508934246176
17,0,1.0,200,32.15133173629918
18,0,1.0,300,28.356226409286357
19,0,1.0,500,23.72406016313391
20,0,10.0,50,45.50700583549826
21,0,10.0,100,42.6372501248982
22,0,10.0,200,34.02171010894436
23,0,10.0,300,27.872721916179565
24,0,10.0,500,24.59079990998647
25,0,100.0,50,52.9036532119695
26,0,100.0,100,40.28905963509469
27,0,100.0,200,33.30853888672238
28,0,100.0,300,30.214911168787385
29,0,100.0,500,30.065738525993726
30,0,1000.0,50,66.77484166754512
31,0,1000.0,100,63.93405801350381
32,0,1000.0,200,62.5650425841983
33,0,1000.0,300,64.48798157768827
34,0,1000.0,500,63.2137701025466
35,1,0.001,50,60.33275279106358
36,1,0.001,100,54.65689317836829
37,1,0.001,200,40.85923728973685
38,1,0.001,300,35.73391768020231
39,1,0.001,500,30.54491922200099
40,1,0.01,50,56.968950962514285
41,1,0.01,100,51.74684432198891
42,1,0.01,200,42.35360136244866
43,1,0.01,300,34.71004981663671
44,1,0.01,500,30.721201665660708
45,1,0.1,50,60.22009277389198
46,1,0.1,100,48.7693680243909
47,1,0.1,200,36.28281718687674
48,1,0.1,300,30.685019503599438
49,1,0.1,500,24.861729886671654
50,1,1.0,50,49.514491653491895
51,1,1.0,100,46.59660960608478
52,1,1.0,200,32.63160105304947
53,1,1.0,300,28.806094402601712
54,1,1.0,500,22.9205436103617
55,1,10.0,50,39.90661856931542
56,1,10.0,100,40.591442254252456
57,1,10.0,200,31.58296984197348
58,1,10.0,300,28.31445371947981
59,1,10.0,500,23.59035355873518
60,1,100.0,50,43.53068146977223
61,1,100.0,100,42.272980167816364
62,1,100.0,200,32.94562888770819
63,1,100.0,300,31.612256295059236
64,1,100.0,500,30.743062773588367
65,1,1000.0,50,56.793390713419136
66,1,1000.0,100,61.838387823029166
67,1,1000.0,200,58.544948493516834
68,1,1000.0,300,62.34004824985826
69,1,1000.0,500,61.037153420530075
70,2,0.001,50,65.53656111502646
71,2,0.001,100,48.441321010846885
72,2,0.001,200,42.92365736528922
73,2,0.001,300,37.62222983900813
74,2,0.001,500,28.966229546942188
75,2,0.01,50,65.12349591682948
76,2,0.01,100,53.11784720506632
77,2,0.01,200,40.04190450541723
78,2,0.01,300,36.90759570064919
79,2,0.01,500,30.43118627444166
80,2,0.1,50,60.132784644021946
81,2,0.1,100,45.666866864051535
82,2,0.1,200,40.33039152665887
83,2,0.1,300,33.14998837062462
84,2,0.1,500,26.69141884430795
85,2,1.0,50,44.87777880215728
86,2,1.0,100,37.94208461691884
87,2,1.0,200,31.515528715110566
88,2,1.0,300,27.062113495585486
89,2,1.0,500,24.461449824160646
90,2,10.0,50,49.01513790858232
91,2,10.0,100,35.369861163935795
92,2,10.0,200,34.689059981616175
93,2,10.0,300,29.926099682292612
94,2,10.0,500,22.7273874911346
95,2,100.0,50,58.524832287131844
96,2,100.0,100,38.353820969100546
97,2,100.0,200,32.613200906166405
98,2,100.0,300,30.709325693244487
99,2,100.0,500,31.536054358534834
100,2,1000.0,50,66.86333134713887
101,2,1000.0,100,65.06762432454757
102,2,1000.0,200,63.49239701117961
103,2,1000.0,300,64.68262719820483
104,2,1000.0,500,60.97488623764704
105,3,0.001,50,61.26683980100703
106,3,0.001,100,54.68399008656829
